brand,title,rating,totalReviews,price,originalPrice
,Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen,3.0,14,0.0,0.0
Motorola,Motorola I265 phone,3.0,7,49.95,0.0
Motorola,MOTOROLA C168i AT&T CINGULAR PREPAID GOPHONE CELL PHONE,2.7,22,99.99,0.0
Motorola,Motorola i335 Cell Phone Boost Mobile,3.3,21,0.0,0.0
Motorola,Motorola V365 no contract cellular phone AT&T,3.1,12,149.99,0.0
Nokia,Nokia 1680 Black Phone (T-Mobile),2.7,3,0.0,0.0
Samsung,"Samsung Alias2 U750 Phone, Black (Verizon Wireless)",3.0,29,0.0,0.0
Samsung,Samsung a167 Prepaid GoPhone (AT&T),2.9,18,0.0,0.0
Motorola,Verizon Wireless Motorola RAZR V3m - Silver,2.7,208,0.0,0.0
Motorola,Motorola Barrage V860 Phone (Verizon Wireless),3.6,352,139.99,0.0
Samsung,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,3.3,57,64.99,0.0
Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,2.6,78,99.99,0.0
Samsung,"Samsung Rugby II, Black (AT&T)",3.6,70,179.0,0.0
Motorola,Motorola i570 Nextel iDen PTT rugged black cell phone,2.9,3,79.0,0.0
Samsung,"Samsung Gusto, Black (Verizon Wireless)",3.4,16,99.99,0.0
Samsung,Samsung T201G Prepaid Phone (Net10),3.6,22,64.94,0.0
Samsung,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,3.2,107,199.99,0.0
Samsung,Samsung R355C Net 10 Unlimited,3.5,146,79.99,0.0
Samsung,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",3.4,349,0.0,0.0
Nokia,Nokia C3 Prepaid GoPhone (AT&T) with $30 Airtime Credit,3.0,7,0.0,0.0
Samsung,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,3.1,23,0.0,0.0
Samsung,Samsung Freeform III Prepaid Phone (MetroPCS),3.1,32,0.0,0.0
Samsung,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,4.1,252,0.0,0.0
Samsung,Samsung Replenish Prepaid Android Phone (Boost Mobile),3.7,84,14.99,0.0
Samsung,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",3.1,123,0.0,0.0
Samsung,Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone,2.5,10,249.99,0.0
Samsung,Samsung a157 GoPhone (AT&T),3.4,305,97.69,0.0
Motorola,Motorola Brute i686 Rugged PTT For Sprint,2.8,10,0.0,0.0
Nokia,Nokia Lumia 900 Black Factory Unlocked,3.2,929,109.98,0.0
Samsung,"Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)",3.7,74,0.0,0.0
Motorola,Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR,1.0,1,499.95,0.0
Motorola,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",3.0,488,349.99,0.0
Motorola,Telcel America Motorola Pre-Paid Cell Phone - Motogo! EX431G - Black,3.9,196,99.99,0.0
Nokia,"Nokia Lumia 920, Black 32GB (AT&T)",3.4,468,209.67,0.0
Nokia,"Nokia Lumia 920, Yellow 32GB (AT&T)",3.0,45,184.18,0.0
Samsung,"Samsung Galaxy Express, Gray 8GB (AT&T)",2.9,8,389.28,0.0
Nokia,Nokia Lumia 822 16GB Windows Phone Black - Verizon,3.4,62,204.16,0.0
Nokia,"Nokia Lumia 822, White 16GB (Verizon Wireless)",3.6,23,0.0,0.0
Nokia,Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow,3.0,74,182.25,0.0
Samsung,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",2.4,49,114.99,0.0
Samsung,"Samsung Galaxy S4 GT-I9500 Factory Unlocked Cellphone, 16GB, White",3.8,1,144.71,0.0
Samsung,"Samsung Galaxy S4, Black Mist 16GB (Sprint)",3.5,561,0.0,0.0
Samsung,"Samsung Galaxy S4, White Frost 16GB (Sprint)",3.8,354,0.0,0.0
Samsung,Samsung Galaxy Rugby Pro 4G LTE I547 Unlocked Android Ruggedized Smart Phone,3.2,365,0.0,0.0
Nokia,"Nokia Lumia 928, White 32GB (Verizon Wireless)",3.2,349,0.0,0.0
Nokia,Nokia Lumia 925 (RM-893) 4G LTE Windows 8 Smartphone GSM Unlocked,3.2,94,0.0,0.0
HUAWEI,Huawei Glory Android Prepaid Phone (Net10),3.1,36,27.9,0.0
Samsung,Samsung Galaxy Prevail II (Boost Mobile) (Discontinued by Manufacturer),3.5,314,89.0,0.0
Nokia,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),3.8,4,59.99,0.0
Samsung,"Samsung Galaxy S4, White Frost 16GB (AT&T)",3.7,641,154.97,0.0
Nokia,Nokia Lumia 520 Quad-Band GSM Unlocked Smartphone - Blue,2.1,5,0.0,0.0
Samsung,"Samsung Convoy 3, Gray (Verizon Wireless)",3.4,340,0.0,0.0
Samsung,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,3.7,111,229.99,0.0
Samsung,"Samsung Galaxy Note 3, Black 32GB (Verizon Wireless)",3.9,983,0.0,0.0
Nokia,"Nokia Lumia 925, Black 16GB (AT&T)",2.7,46,54.99,0.0
Samsung,Samsung a157V (AT&T Go Phone) No Annual Contract,3.5,299,102.0,0.0
Samsung,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",3.4,85,299.0,0.0
Samsung,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77"" Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",4.0,10,79.0,0.0
Motorola,Motorola Droid Ultra XT1080 16GB 4G LTE Android Smartphone W/ 10MP Camera - Black,3.5,30,249.99,0.0
Motorola,Moto G - Verizon Prepaid Phone (Verizon Prepaid Only),4.0,773,64.99,0.0
Nokia,"Nokia Lumia Icon, Black 32GB (Verizon Wireless)",3.8,159,233.71,0.0
Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,3.5,13,159.99,0.0
Samsung,"Samsung Galaxy S5, G900P 16GB White - Sprint",3.7,5,269.99,0.0
Samsung,Samsung Galaxy S4 16GB SPH-L720 4G LTE Android - Sprint (Blue),3.3,135,0.0,0.0
Samsung,"Samsung Gusto 3, Dark Blue, Verizon Wireless",3.2,81,0.0,0.0
Samsung,"Samsung ATIV SE, Silver 16GB (Verizon Wireless)",3.8,22,0.0,0.0
Motorola,"Motorola DROID MAXX, Black 16GB (Verizon Wireless)",4.1,263,0.0,0.0
Samsung,"Samsung Gusto 3, Royal Navy Blue (Verizon Wireless Prepaid) - Discontinued by Manufacturer",3.3,262,0.0,0.0
Motorola,"Motorola Moto G (1st Generation) Unlocked Cellphone, 8GB, White",4.0,1,209.75,0.0
Nokia,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,3.5,693,103.98,0.0
Samsung,Samsung Galaxy S5 G900V Verizon 4G LTE Smartphone w/ 16MP Camera - Black - Verizon,3.2,627,0.0,0.0
Sony,Sony Xperia Z2 - Unlocked (White),3.2,5,606.3,0.0
Motorola,"Motorola Moto G (2nd generation) Unlocked Cellphone, 8GB, Black",4.1,3,99.0,0.0
Motorola,"Motorola Moto X (2nd generation) XT1097 GSM Unlocked Cellphone, 16GB, Black Soft Touch",3.5,428,0.0,0.0
Samsung,"Samsung Galaxy Alpha, Frosted Gold 32GB (AT&T)",3.1,113,0.0,0.0
Samsung,"Samsung Galaxy Mega 2, Brown Black 16GB (AT&T)",3.2,106,0.0,0.0
Samsung,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",3.2,227,259.98,0.0
Samsung,"Samsung Galaxy Note 4, Frosted White 32GB (Verizon Wireless)",3.4,1,0.0,0.0
Motorola,"Motorola Moto X - 2nd Generation, Black Resin 16GB (Verizon Wireless)",3.9,124,0.0,0.0
Nokia,Nokia Lumia 530 White - No Contract (T-Mobile),3.2,378,133.28,0.0
Samsung,"Samsung Galaxy S4 SGH-I337 USA GSM Unlocked Cellphone, 16GB, Frost White",2.8,175,154.97,0.0
Motorola,Verizon 4G LTE Moto Luge by Motorola Prepaid Smartphone,3.1,31,74.98,0.0
Samsung,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,3.6,431,194.0,0.0
Motorola,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",3.6,545,149.99,0.0
Nokia,"Nokia Lumia 630 Windows Prepaid SmartPhone, Carrier Locked to Cricket Wireless, No Contract",3.3,14,129.99,0.0
Samsung,Samsung Solstice II A817 Touch Screen (AT&T) No Contract,3.3,4,119.99,0.0
Samsung,Samsung Galaxy Centura SCH-S738C - (Net10),1.0,1,0.0,0.0
Samsung,Samsung Galaxy S4 M919 16GB Unlocked GSM 4G LTE Quad-Core Smartphone - White Frost,2.6,32,169.93,0.0
Motorola,"Motorola Moto E (2nd Generation) Locked Cellphone, Black",3.8,1,0.0,0.0
Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows Smartphone w/ 8MP Carl Zeiss Optics Camera - Black,3.8,112,0.0,0.0
Samsung,"Samsung Galaxy S6, Black Sapphire 32GB (Verizon Wireless)",3.5,1,0.0,0.0
Samsung,"Samsung Galaxy S6 Edge, White Pearl 32GB (Verizon Wireless)",3.5,505,0.0,0.0
Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)",2.7,6,219.95,0.0
Samsung,Samsung GALAXY S6 G920 32GB Unlocked GSM 4G LTE Octa-Core Smartphone - Black Sapphire,3.1,243,0.0,0.0
Apple,Apple iPod Touch 16GB (5th Generation) - Space Gray (Renewed),2.8,60,0.0,0.0
Samsung,Samsung Convoy 3 SCH-U680 Rugged 3G Cell Phone Verizon Wireless,3.7,264,169.98,0.0
Samsung,Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,2.9,338,219.88,0.0
Samsung,Samsung Galaxy S6 Edge G925F 32GB Unlocked Phone - Retail Packaging - Black Sapphire,2.3,7,630.71,0.0
Samsung,Samsung Galaxy S6 32GB G920A AT&T Unlocked - Gold Platinum,2.8,134,0.0,0.0
Motorola,Motorola Moto E LTE - No Contract Phone (U.S. Cellular),3.7,64,89.99,0.0
Samsung,"Samsung Galaxy S6 Active, 32 GB , Grey (AT&T)",3.7,325,585.28,694.99
Sony,"Sony Xperia Z3 Plus E6533 32GB Black 3G/4G, Dual SIM Unlocked Factory 4G LTE - International Version No Warranty",3.1,4,0.0,0.0
Sony,Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White),3.0,41,144.9,0.0
Samsung,Samsung Galaxy S6 G920T 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - Black,3.3,142,0.0,0.0
Samsung,"Samsung Galaxy S6 Edge+, Black 64GB (Sprint)",3.9,162,0.0,0.0
Samsung,"Samsung Galaxy Note 5, Black  64GB (Verizon Wireless)",3.6,799,399.99,0.0
Samsung,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)",4.1,645,148.98,0.0
Samsung,Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed),3.2,90,121.46,134.3
Samsung,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White,2.8,32,290.0,399.99
Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed),3.5,36,74.99,0.0
Samsung,Samsung Galaxy S5 SM-G900T - 16GB - Shimmery White Smart Phone - Unlocked (Renewed),3.4,2,0.0,0.0
Nokia,"Nokia 105 RM-1135 Dual-Band (850/1900 MHz) Factory Unlocked Mobile Phone, Black, 2G Network Only.",2.9,127,46.83,52.8
Samsung,Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless),3.6,799,300.55,0.0
Samsung,Samsung Galaxy S6 G920A 64GB Unlocked GSM 4G LTE Octa-Core Android Smartphone w/ 16MP Camera - White,3.3,14,0.0,0.0
Motorola,"Motorola XT1585 Turbo 2, (32GB) 5.4'' (White, Verizon)",2.8,289,0.0,0.0
Samsung,Samsung Galaxy S4 16GB Black SPH-L720T Tri-Band (Boost Mobile),3.7,138,0.0,0.0
HUAWEI,"Huawei Nexus 6P unlocked smartphone, 64GB Gold (US Warranty)",3.3,2,0.0,0.0
Motorola,Motorola Droid Turbo 2 XT1585 32GB - Verizon (Black),3.3,58,239.99,0.0
Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed),3.8,209,74.99,0.0
Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",2.5,7,239.98,0.0
Samsung,Samsung Galaxy Note 5 SM-N920T 32GB Black Smartphone for T-Mobile,3.5,91,0.0,0.0
Motorola,Motorola Droid Maxx 2 XT1565 16 GB Verizon Phone w/ 21 MP Rear Camera - White,3.1,26,0.0,0.0
Samsung,Samsung Galaxy Grand Prime Prepaid Smartphone Family Mobile Powered by T-Mobile,3.3,9,0.0,0.0
Samsung,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,3.2,250,284.98,0.0
Samsung,"Samsung Galaxy S7, Black 32GB (Verizon Wireless)",3.6,220,0.0,0.0
Samsung,"Samsung Galaxy GS7 Edge, Gold 32GB (Verizon Wireless)",3.8,37,0.0,0.0
Samsung,Samsung Galaxy Note 5 SM-N920T 64gb - Unlocked Cellphone GSM - Platinum Gold (T - Mobile),2.7,34,0.0,0.0
Samsung,"Samsung Galaxy GS7 Edge, Gold 32GB (Sprint)",3.4,25,0.0,0.0
Samsung,"Samsung Galaxy S7, G930P Gold 32GB (Sprint)",3.9,56,0.0,0.0
Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",3.8,1,160.08,659.99
Samsung,Samsung Galaxy S7 Edge Smartphone - GSM Unlocked - 32 GB - No Warranty - Black,3.3,63,0.0,0.0
Samsung,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",3.1,394,248.7,0.0
Samsung,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed),3.5,1,119.95,0.0
Samsung,Samsung Galaxy S6 SM-G920V 32GB Gold Smartphone for Verizon (Renewed),3.5,1,159.99,0.0
Samsung,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,3.8,783,399.0,0.0
Samsung,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed),2.9,11,122.99,0.0
Samsung,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed),3.6,139,129.0,0.0
Samsung,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold",3.2,1,210.99,0.0
Samsung,Samsung Galaxy S6 G920P 32GB Black Boost Mobile Smartphone,3.7,29,0.0,0.0
Samsung,Samsung Galaxy S7 32GB G930V Unlocked - Black,3.2,250,275.99,0.0
Motorola,Moto G Plus (4th Gen.) Unlocked - Black - 64GB - U.S. Warranty,3.5,1,0.0,0.0
Motorola,Moto G (4th Gen.) Unlocked - Black - 32GB,3.5,1,0.0,0.0
Samsung,"Samsung Galaxy J3 Express Prime 2 SM-J327A 4G LTE 7.0 Nougat 5"" Smartphone (AT&T) - Black",3.9,50,0.0,0.0
Samsung,Samsung Galaxy J1 Mini 8GB J106H/DS Dual Sim Unlocked Phone - Retail Packaging- Black,3.2,169,104.9,0.0
